ImageId,Label
1,2
2,0
3,8
4,7
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,6
13,4
14,0
15,4
16,3
17,3
18,1
19,9
20,0
21,8
22,1
23,1
24,4
25,7
26,4
27,2
28,6
29,4
30,7
31,7
32,5
33,4
34,2
35,6
36,4
37,4
38,5
39,5
40,4
41,7
42,7
43,4
44,9
45,6
46,6
47,7
48,3
49,5
50,5
51,6
52,6
53,7
54,4
55,8
56,2
57,1
58,1
59,3
60,3
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,6
72,5
73,6
74,6
75,5
76,5
77,6
78,9
79,2
80,3
81,5
82,6
83,1
84,1
85,9
86,1
87,4
88,4
89,6
90,7
91,3
92,0
93,6
94,5
95,2
96,3
97,4
98,7
99,7
100,4
101,1
102,5
103,1
104,0
105,7
106,2
107,0
108,5
109,0
110,5
111,0
112,0
113,3
114,4
115,1
116,7
117,1
118,1
119,4
120,3
121,3
122,7
123,2
124,5
125,6
126,3
127,6
128,7
129,4
130,5
131,3
132,5
133,5
134,0
135,0
136,0
137,3
138,1
139,3
140,4
141,4
142,3
143,4
144,4
145,4
146,6
147,6
148,6
149,1
150,4
151,4
152,3
153,5
154,5
155,4
156,2
157,7
158,4
159,7
160,8
161,3
162,0
163,4
164,4
165,1
166,3
167,6
168,6
169,3
170,0
171,2
172,7
173,8
174,6
175,1
176,2
177,7
178,4
179,1
180,2
181,4
182,5
183,5
184,2
185,4
186,9
187,1
188,1
189,6
190,0
191,6
192,1
193,4
194,7
195,6
196,0
197,9
198,7
199,2
200,9
201,1
202,8
203,0
204,5
205,9
206,0
207,7
208,4
209,5
210,2
211,0
212,9
213,3
214,6
215,6
216,3
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,5
227,4
228,6
229,1
230,0
231,0
232,4
233,9
234,1
235,6
236,2
237,2
238,4
239,8
240,5
241,7
242,6
243,2
244,5
245,5
246,5
247,9
248,7
249,3
250,5
251,8
252,6
253,1
254,5
255,7
256,5
257,4
258,3
259,4
260,2
261,6
262,3
263,3
264,5
265,7
266,0
267,6
268,6
269,4
270,1
271,5
272,0
273,5
274,3
275,5
276,4
277,1
278,5
279,7
280,4
281,0
282,7
283,1
284,2
285,5
286,3
287,7
288,3
289,9
290,9
291,5
292,7
293,7
294,8
295,8
296,5
297,3
298,0
299,3
300,3
301,6
302,9
303,7
304,2
305,5
306,4
307,7
308,1
309,4
310,5
311,8
312,4
313,9
314,3
315,0
316,3
317,6
318,7
319,1
320,7
321,6
322,1
323,1
324,8
325,8
326,4
327,4
328,1
329,5
330,6
331,5
332,3
333,1
334,2
335,0
336,8
337,0
338,1
339,5
340,7
341,6
342,3
343,1
344,8
345,6
346,0
347,5
348,5
349,4
350,3
351,6
352,7
353,7
354,2
355,5
356,7
357,6
358,8
359,4
360,6
361,6
362,6
363,3
364,6
365,5
366,2
367,3
368,6
369,1
370,5
371,4
372,6
373,7
374,9
375,7
376,6
377,8
378,5
379,3
380,7
381,4
382,5
383,5
384,5
385,2
386,6
387,2
388,1
389,3
390,7
391,1
392,7
393,7
394,9
395,6
396,1
397,1
398,1
399,7
400,4
401,9
402,7
403,6
404,1
405,1
406,1
407,7
408,3
409,5
410,4
411,5
412,0
413,4
414,1
415,2
416,5
417,1
418,1
419,3
420,5
421,8
422,5
423,6
424,6
425,4
426,1
427,4
428,7
429,6
430,6
431,4
432,8
433,6
434,2
435,5
436,1
437,3
438,8
439,5
440,0
441,6
442,4
443,7
444,4
445,4
446,4
447,5
448,5
449,3
450,9
451,5
452,6
453,6
454,9
455,4
456,7
457,2
458,3
459,4
460,5
461,1
462,7
463,5
464,3
465,4
466,1
467,7
468,4
469,5
470,1
471,1
472,4
473,8
474,5
475,5
476,0
477,2
478,2
479,1
480,0
481,4
482,7
483,1
484,2
485,7
486,9
487,4
488,7
489,3
490,6
491,5
492,4
493,2
494,4
495,3
496,5
497,5
498,2
499,2
500,0
501,6
502,5
503,8
504,5
505,1
506,6
507,3
508,3
509,2
510,2
511,7
512,5
513,6
514,5
515,4
516,3
517,3
518,6
519,4
520,3
521,4
522,8
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,4
536,5
537,5
538,5
539,7
540,3
541,1
542,2
543,8
544,2
545,1
546,3
547,0
548,9
549,3
550,1
551,1
552,3
553,0
554,4
555,1
556,0
557,7
558,4
559,6
560,2
561,3
562,3
563,6
564,1
565,5
566,6
567,3
568,1
569,1
570,6
571,5
572,4
573,4
574,5
575,0
576,4
577,7
578,2
579,4
580,2
581,4
582,1
583,6
584,6
585,9
586,1
587,7
588,4
589,8
590,6
591,8
592,7
593,4
594,5
595,3
596,6
597,5
598,6
599,0
600,2
601,1
602,1
603,6
604,1
605,6
606,2
607,7
608,5
609,5
610,4
611,7
612,4
613,3
614,3
615,2
616,4
617,6
618,1
619,0
620,9
621,8
622,4
623,9
624,4
625,0
626,7
627,4
628,6
629,6
630,3
631,6
632,1
633,6
634,6
635,1
636,4
637,7
638,7
639,7
640,3
641,1
642,7
643,9
644,5
645,7
646,6
647,4
648,4
649,1
650,7
651,4
652,8
653,3
654,0
655,7
656,2
657,3
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,4
667,1
668,3
669,4
670,6
671,5
672,8
673,4
674,4
675,6
676,6
677,6
678,3
679,6
680,0
681,6
682,9
683,7
684,4
685,1
686,6
687,5
688,6
689,9
690,8
691,2
692,5
693,0
694,1
695,7
696,4
697,3
698,8
699,7
700,7
701,4
702,3
703,4
704,0
705,5
706,0
707,5
708,4
709,6
710,4
711,3
712,8
713,1
714,5
715,5
716,5
717,2
718,3
719,7
720,5
721,9
722,2
723,1
724,0
725,1
726,1
727,6
728,4
729,6
730,3
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,5
739,1
740,3
741,4
742,4
743,3
744,4
745,3
746,8
747,1
748,7
749,7
750,6
751,3
752,9
753,4
754,4
755,4
756,4
757,7
758,1
759,1
760,4
761,6
762,0
763,4
764,0
765,4
766,0
767,0
768,6
769,1
770,8
771,4
772,5
773,0
774,1
775,5
776,3
777,4
778,5
779,3
780,1
781,1
782,5
783,7
784,7
785,3
786,5
787,5
788,4
789,5
790,5
791,4
792,2
793,3
794,0
795,4
796,2
797,1
798,6
799,9
800,8
801,1
802,1
803,3
804,3
805,1
806,5
807,8
808,6
809,4
810,1
811,5
812,4
813,3
814,3
815,3
816,4
817,0
818,7
819,7
820,3
821,3
822,0
823,4
824,0
825,1
826,9
827,1
828,4
829,5
830,2
831,5
832,4
833,4
834,8
835,3
836,9
837,6
838,1
839,5
840,4
841,1
842,9
843,0
844,7
845,3
846,6
847,7
848,2
849,6
850,5
851,7
852,8
853,7
854,6
855,2
856,7
857,1
858,4
859,5
860,7
861,0
862,4
863,1
864,3
865,2
866,3
867,5
868,8
869,2
870,3
871,6
872,4
873,4
874,2
875,4
876,4
877,1
878,1
879,0
880,1
881,4
882,7
883,1
884,1
885,2
886,7
887,1
888,5
889,4
890,8
891,1
892,7
893,6
894,0
895,4
896,2
897,8
898,4
899,1
900,1
901,6
902,3
903,5
904,7
905,6
906,6
907,5
908,3
909,2
910,7
911,2
912,0
913,4
914,6
915,1
916,6
917,4
918,5
919,1
920,5
921,5
922,3
923,6
924,8
925,4
926,7
927,9
928,6
929,6
930,3
931,4
932,2
933,1
934,4
935,5
936,2
937,7
938,6
939,8
940,5
941,5
942,2
943,6
944,1
945,0
946,9
947,3
948,2
949,9
950,5
951,5
952,6
953,5
954,4
955,3
956,2
957,6
958,3
959,2
960,2
961,7
962,8
963,4
964,0
965,5
966,5
967,1
968,8
969,7
970,5
971,3
972,1
973,8
974,6
975,5
976,1
977,7
978,0
979,7
980,3
981,4
982,8
983,7
984,7
985,7
986,4
987,0
988,5
989,4
990,2
991,1
992,9
993,4
994,6
995,6
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,5
1009,2
1010,8
1011,2
1012,6
1013,4
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,4
1021,5
1022,9
1023,4
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,6
1034,7
1035,4
1036,5
1037,5
1038,3
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,4
1046,2
1047,6
1048,7
1049,4
1050,6
1051,2
1052,6
1053,3
1054,4
1055,8
1056,1
1057,1
1058,3
1059,5
1060,3
1061,0
1062,0
1063,6
1064,0
1065,8
1066,4
1067,7
1068,0
1069,4
1070,9
1071,5
1072,6
1073,7
1074,6
1075,7
1076,2
1077,5
1078,1
1079,2
1080,9
1081,3
1082,0
1083,3
1084,3
1085,7
1086,7
1087,6
1088,4
1089,2
1090,1
1091,3
1092,2
1093,0
1094,1
1095,7
1096,5
1097,4
1098,2
1099,5
1100,3
1101,4
1102,2
1103,8
1104,1
1105,8
1106,2
1107,0
1108,2
1109,4
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,4
1117,2
1118,6
1119,4
1120,9
1121,6
1122,4
1123,4
1124,1
1125,6
1126,3
1127,6
1128,6
1129,1
1130,3
1131,1
1132,5
1133,8
1134,0
1135,3
1136,6
1137,7
1138,3
1139,8
1140,7
1141,5
1142,0
1143,2
1144,1
1145,2
1146,6
1147,6
1148,4
1149,5
1150,2
1151,6
1152,7
1153,6
1154,4
1155,5
1156,4
1157,7
1158,1
1159,8
1160,4
1161,9
1162,1
1163,4
1164,0
1165,6
1166,4
1167,2
1168,1
1169,4
1170,5
1171,6
1172,3
1173,8
1174,1
1175,8
1176,4
1177,3
1178,7
1179,2
1180,5
1181,3
1182,5
1183,8
1184,5
1185,0
1186,7
1187,0
1188,3
1189,2
1190,8
1191,7
1192,3
1193,3
1194,7
1195,7
1196,8
1197,3
1198,2
1199,5
1200,4
1201,5
1202,7
1203,3
1204,0
1205,1
1206,7
1207,8
1208,6
1209,4
1210,1
1211,4
1212,5
1213,8
1214,4
1215,4
1216,9
1217,5
1218,7
